,Song,Artist
328,Groovejet (If This Ain't Love),Spiller
329,Music,Madonna
330,Take on Me,A1
331,Lady (Hear Me Tonight),Modjo
332,Against All Odds,Mariah Carey featuring Westlife
333,Black Coffee,All Saints
334,Beautiful Day,U2
335,Stomp,Steps
336,Holler / Let Love Lead the Way,Spice Girls
337,My Love,Westlife
338,Same Old Brand New You,A1
339,Can't Fight the Moonlight,LeAnn Rimes
340,Independent Women Part I,Destiny's Child
341,Never Had a Dream Come True,S Club 7
342,Stan,Eminem
343,Can We Fix It? †,Bob the Builder
344,Touch Me,Rui da Silva featuring Cassandra
345,Love Don't Cost a Thing,Jennifer Lopez
346,Rollin',Limp Bizkit
347,Whole Again,Atomic Kitten
348,It Wasn't Me †,Shaggy featuring RikRok
349,Uptown Girl,Westlife
350,Pure and Simple,Hear'Say
351,What Took You So Long?,Emma Bunton
352,Survivor,Destiny's Child
353,Don't Stop Movin',S Club 7
354,It's Raining Men,Geri Halliwell
355,Do You Really Like It?,DJ Pied Piper and the Masters of Ceremonies
356,Angel,Shaggy featuring Rayvon
357,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa and Pink"
358,The Way to Your Love,Hear'Say
359,Another Chance,Roger Sanchez
360,Eternity / The Road to Mandalay,Robbie Williams
361,Eternal Flame,Atomic Kitten
362,21 Seconds,So Solid Crew
363,Let's Dance,Five
364,Too Close,Blue
365,Mambo No. 5,Bob the Builder
366,Hey Baby,DJ Ötzi
367,Can't Get You Out of My Head,Kylie Minogue
368,Because I Got High,Afroman
369,Queen of My Heart,Westlife
370,If You Come Back,Blue
371,Have You Ever,S Club 7
372,Gotta Get Thru This,Daniel Bedingfield
373,Somethin' Stupid,Robbie Williams and Nicole Kidman
374,More Than a Woman,Aaliyah
375,My Sweet Lord (reissue),George Harrison
376,Hero,Enrique Iglesias
377,World of Our Own,Westlife
378,Anything Is Possible / Evergreen ‡,Will Young
379,Unchained Melody,Gareth Gates
380,The Hindu Times,Oasis
381,Freak Like Me,Sugababes
382,Kiss Kiss,Holly Valance
383,If Tomorrow Never Comes,Ronan Keating
384,Just a Little,Liberty X
385,Without Me,Eminem
386,Light My Fire,Will Young
387,A Little Less Conversation,Elvis vs. JXL
388,Anyone of Us (Stupid Mistake),Gareth Gates
389,Colourblind,Darius
390,Round Round,Sugababes
391,Crossroads,Blazin' Squad
392,The Tide Is High (Get the Feeling),Atomic Kitten
393,Just like a Pill,Pink
394,The Long and Winding Road / Suspicious Minds,Will Young and Gareth Gates
395,The Ketchup Song,Las Ketchup
396,Dilemma,Nelly featuring Kelly Rowland
397,Heaven,DJ Sammy and Yanou featuring Do
398,Unbreakable,Westlife
399,Dirrty,Christina Aguilera featuring Redman
400,If You're Not the One,Daniel Bedingfield
401,Lose Yourself,Eminem
402,Sorry Seems to Be the Hardest Word,Blue featuring Elton John
403,Sound of the Underground,Girls Aloud
404,Stop Living the Lie,David Sneddon
405,All the Things She Said,t.A.T.u.
406,Beautiful,Christina Aguilera
407,Spirit in the Sky,Gareth Gates featuring The Kumars
408,Make Luv,Room 5 featuring Oliver Cheatham
409,You Said No,Busted
410,Loneliness,Tomcraft
411,Ignition,R. Kelly
412,Crazy in Love,Beyoncé featuring Jay-Z
413,Never Gonna Leave Your Side,Daniel Bedingfield
414,Breathe,Blu Cantrell featuring Sean Paul
415,Are You Ready for Love,Elton John
416,Where Is the Love? †,The Black Eyed Peas
417,Hole in the Head,Sugababes
418,Be Faithful,Fatman Scoop featuring the Crooklyn Clan
419,Slow,Kylie Minogue
420,Crashed the Wedding,Busted
421,Mandy,Westlife
422,Leave Right Now,Will Young
423,Changes,Ozzy and Kelly Osbourne
424,Mad World,Michael Andrews featuring Gary Jules
425,All This Time,Michelle
426,Take Me to the Clouds Above,LMC vs. U2
427,With a Little Help from My Friends,Sam & Mark
428,Who's David?,Busted
429,Mysterious Girl,Peter Andre featuring Bubbler Ranx
430,Toxic,Britney Spears
431,Cha Cha Slide,DJ Casper
432,Yeah!,Usher featuring Lil Jon and Ludacris
433,5 Colours in Her Hair,McFly
434,Fuck It (I Don't Want You Back),Eamon
435,F.U.R.B. (Fuck You Right Back),Frankee
436,I Don't Wanna Know,Mario Winans featuring Enya and P. Diddy
437,Everytime,Britney Spears
438,Obviously,McFly
439,Burn,Usher
440,Lola's Theme,The Shapeshifters
441,Dry Your Eyes,The Streets
442,Thunderbirds / 3AM,Busted
443,Baby Cakes,3 of a Kind
444,These Words,Natasha Bedingfield
445,My Place / Flap Your Wings,Nelly
446,Real to Me,Brian McFadden
447,Call on Me,Eric Prydz
448,Radio,Robbie Williams
449,Wonderful,Ja Rule featuring R. Kelly and Ashanti
450,Just Lose It,Eminem
451,Vertigo,U2
452,I'll Stand by You,Girls Aloud
453,Do They Know It's Christmas? †,Band Aid 20
454,Against All Odds,Steve Brookstein
455,Jailhouse Rock (reissue),Elvis Presley
456,One Night / I Got Stung (reissue),Elvis Presley
457,Goodies,Ciara featuring Petey Pablo
458,It's Now or Never (reissue),Elvis Presley
459,Like Toy Soldiers,Eminem
460,Sometimes You Can't Make It on Your Own,U2
461,Get Right,Jennifer Lopez
462,Over and Over,Nelly featuring Tim McGraw
463,Dakota,Stereophonics
464,All About You / You've Got a Friend,McFly
465,(Is This the Way to) Amarillo †,Tony Christie featuring Peter Kay
466,Lonely,Akon
467,Lyla,Oasis
468,Axel F,Crazy Frog
469,Ghetto Gospel,2Pac featuring Elton John
470,You're Beautiful,James Blunt
471,I'll Be OK,McFly
472,The Importance of Being Idle,Oasis
473,Dare,Gorillaz
474,Don't Cha,The Pussycat Dolls featuring Busta Rhymes
475,Push the Button,Sugababes
476,I Bet You Look Good on the Dancefloor,Arctic Monkeys
477,You Raise Me Up,Westlife
478,Hung Up,Madonna
479,Stickwitu,The Pussycat Dolls
480,JCB,Nizlopi
481,That's My Goal,Shayne Ward
482,When the Sun Goes Down,Arctic Monkeys
483,Nasty Girl,"The Notorious B.I.G. featuring Diddy, Nelly, Jagged Edge and Avery Storm"
484,Thunder in My Heart Again,Meck featuring Leo Sayer
485,Sorry,Madonna
486,It's Chico Time,Chico
487,No Tomorrow,Orson
488,So Sick,Ne-Yo
489,Crazy †,Gnarls Barkley
490,I Wish I Was a Punk Rocker (With Flowers in My Hair),Sandi Thom
491,Maneater,Nelly Furtado
492,Hips Don't Lie,Shakira featuring Wyclef Jean
493,Smile,Lily Allen
494,"Don't Stop Me Now / Please, Please",McFly
495,Déjà Vu,Beyoncé featuring Jay-Z
496,SexyBack,Justin Timberlake
497,I Don't Feel Like Dancin',Scissor Sisters
498,America,Razorlight
499,Welcome to the Black Parade,My Chemical Romance
500,Star Girl,McFly
501,Put Your Hands Up For Detroit,Fedde Le Grand
502,The Rose,Westlife
503,Smack That,Akon featuring Eminem
504,Patience,Take That
505,A Moment Like This,Leona Lewis
506,Grace Kelly,Mika
507,Ruby,Kaiser Chiefs
508,Shine,Take That
509,Walk This Way,Sugababes vs. Girls Aloud
510,I'm Gonna Be (500 Miles),The Proclaimers featuring Brian Potter and Andy Pipkin
511,Give It to Me,Timbaland featuring Nelly Furtado and Justin Timberlake
512,Beautiful Liar,Beyoncé and Shakira
513,Baby's Coming Back / Transylvania,McFly
514,Umbrella,Rihanna featuring Jay-Z
515,The Way I Are,Timbaland featuring Keri Hilson
516,With Every Heartbeat,Robyn with Kleerup
517,Stronger,Kanye West
518,Beautiful Girls,Sean Kingston
519,About You Now,Sugababes
520,Bleeding Love †,Leona Lewis
521,What a Wonderful World,Katie Melua and Eva Cassidy
522,When You Believe,Leon Jackson
523,Now You're Gone,Basshunter featuring DJ Mental Theo's Bazzheadz
524,Mercy,Duffy
525,American Boy,Estelle featuring Kanye West
526,4 Minutes,Madonna featuring Justin Timberlake
527,That's Not My Name,The Ting Tings
528,Take a Bow,Rihanna
529,Singin' in the Rain,Mint Royale
530,Viva la Vida,Coldplay
531,Closer,Ne-Yo
532,Dance wiv Me,Dizzee Rascal featuring Calvin Harris and Chrome
533,All Summer Long,Kid Rock
534,I Kissed a Girl,Katy Perry
535,Sex on Fire,Kings of Leon
536,So What,Pink
537,The Promise,Girls Aloud
538,Hero,The X Factor Finalists 2008
539,If I Were a Boy,Beyoncé
540,Greatest Day,Take That
541,Run,Leona Lewis
542,Hallelujah †,Alexandra Burke
543,Just Dance,Lady Gaga featuring Colby O'Donis
544,The Fear,Lily Allen
545,My Life Would Suck Without You,Kelly Clarkson
546,Right Round,Flo Rida featuring Kesha
547,(Barry) Islands in the Stream,Vanessa Jenkins and Bryn West featuring Tom Jones and Robin Gibb
548,Poker Face †,Lady Gaga
549,I'm Not Alone,Calvin Harris
550,Number 1,Tinchy Stryder featuring N-Dubz
551,Boom Boom Pow,The Black Eyed Peas
552,Bonkers,Dizzee Rascal featuring Armand Van Helden
553,"Mama Do (Uh Oh, Uh Oh)",Pixie Lott
554,When Love Takes Over,David Guetta featuring Kelly Rowland
555,Bulletproof,La Roux
556,Evacuate the Dancefloor,Cascada
557,Beat Again,JLS
558,I Gotta Feeling,The Black Eyed Peas
559,Never Leave You,Tinchy Stryder featuring Amelle Berrabah
560,Sexy Chick,David Guetta featuring Akon
561,Holiday,Dizzee Rascal featuring Chrome
562,Run This Town,Jay-Z featuring Rihanna and Kanye West
563,Boys and Girls,Pixie Lott
564,Break Your Heart,Taio Cruz
565,Oopsy Daisy,Chipmunk
566,Bad Boys,Alexandra Burke featuring Flo Rida
567,Fight for This Love,Cheryl Cole
568,Everybody in Love,JLS
569,Meet Me Halfway,The Black Eyed Peas
570,You Are Not Alone,The X Factor Finalists 2009
571,The Official BBC Children in Need Medley,Peter Kay's Animated All Star Band
572,Bad Romance,Lady Gaga
573,Killing in the Name,Rage Against the Machine
